Data_Type,rt,response,subj_idx,condition,correct,stimulus
Synth,0.327815002,0,P001,0-back,0,1
Synth,0.302271299,1,P001,0-back,1,1
Synth,0.435680029,1,P001,0-back,1,1
Synth,0.310104594,0,P001,0-back,0,1
Synth,0.391360443,1,P001,0-back,1,1
Synth,0.372838826,1,P001,0-back,1,1
Synth,0.323506067,1,P001,0-back,1,1
Synth,0.378431071,1,P001,0-back,1,1
Synth,0.424113028,1,P001,0-back,1,1
Synth,0.392149103,1,P001,0-back,1,1
Synth,0.437099414,1,P001,0-back,1,1
Synth,0.402988177,0,P001,0-back,0,1
Synth,0.357528113,1,P001,0-back,1,1
Synth,0.392927893,1,P001,0-back,1,1
Synth,0.389530522,1,P001,0-back,1,1
Synth,0.497401211,1,P001,0-back,1,1
Synth,0.325939573,1,P001,0-back,1,1
Synth,0.40539055,1,P001,0-back,1,1
Synth,0.415526762,1,P001,0-back,1,1
Synth,0.346381701,1,P001,0-back,1,1
Synth,0.293016591,1,P001,0-back,1,1
Synth,0.414710034,1,P001,0-back,1,1
Synth,0.350371978,0,P001,0-back,0,1
Synth,0.398138238,1,P001,0-back,1,1
Synth,0.372879621,1,P001,0-back,1,1
Synth,0.390207851,1,P001,0-back,1,1
Synth,0.470951593,0,P001,0-back,0,1
Synth,0.318655411,1,P001,0-back,1,1
Synth,0.442043135,1,P001,0-back,1,1
Synth,0.356633176,1,P001,0-back,1,1
Synth,0.371280668,1,P001,0-back,1,1
Synth,0.608456421,1,P001,0-back,1,1
Synth,0.308715337,1,P001,0-back,1,1
Synth,0.372517869,1,P001,0-back,1,1
Synth,0.412796047,1,P001,0-back,1,1
Synth,0.349150187,1,P001,0-back,1,1
Synth,0.46845266,1,P001,0-back,1,1
Synth,0.334998828,1,P001,0-back,1,1
Synth,0.380121242,1,P001,0-back,1,1
Synth,0.320947169,1,P001,0-back,1,1
Synth,0.389845075,1,P001,0-back,1,1
Synth,0.484142577,1,P001,0-back,1,1
Synth,0.332672235,1,P001,0-back,1,1
Synth,0.407165823,1,P001,0-back,1,1
Synth,0.413148367,1,P001,0-back,1,1
Synth,0.378259671,1,P001,0-back,1,1
Synth,0.433761282,1,P001,0-back,1,1
Synth,0.353651413,1,P001,0-back,1,1
Synth,0.413406628,1,P001,0-back,1,1
Synth,0.314447256,1,P001,0-back,1,1
Synth,0.432706351,1,P001,0-back,1,1
Synth,0.50041242,1,P001,0-back,1,1
Synth,0.342260261,1,P001,0-back,1,1
Synth,0.438247293,1,P001,0-back,1,1
Synth,0.379177647,1,P001,0-back,1,1
Synth,0.380884594,1,P001,0-back,1,1
Synth,0.414974994,1,P001,0-back,1,1
Synth,0.449536694,1,P001,0-back,1,1
Synth,0.373391457,1,P001,0-back,1,1
Synth,0.370351337,1,P001,0-back,1,1
Synth,0.344541858,1,P001,0-back,1,1
Synth,0.371983492,1,P001,0-back,1,1
Synth,0.392275714,1,P001,0-back,1,1
Synth,0.369888526,1,P001,0-back,1,1
Synth,0.39237705,1,P001,0-back,1,1
Synth,0.347466691,1,P001,0-back,1,1
Synth,0.478046261,1,P001,0-back,1,1
Synth,0.412292045,1,P001,0-back,1,1
Synth,0.471804149,1,P001,0-back,1,1
Synth,0.457509194,1,P001,0-back,1,1
Synth,0.399227619,1,P001,0-back,1,1
Synth,0.400799827,1,P001,0-back,1,1
Synth,0.35899427,1,P001,0-back,1,1
Synth,0.30464593,1,P001,0-back,1,1
Synth,0.352174761,1,P001,0-back,1,1
Synth,0.342086413,1,P001,0-back,1,1
Synth,0.460071942,1,P001,0-back,1,1
Synth,0.358502334,0,P001,0-back,0,1
Synth,0.408360918,1,P001,0-back,1,1
Synth,0.445588795,1,P001,0-back,1,1
Synth,0.363015568,1,P001,0-back,1,1
Synth,0.429364319,1,P001,0-back,1,1
Synth,0.427353162,1,P001,0-back,1,1
Synth,0.383387416,1,P001,0-back,1,1
Synth,0.310609478,1,P001,0-back,1,1
Synth,0.399963955,1,P001,0-back,1,1
Synth,0.39091808,1,P001,0-back,1,1
Synth,0.416139629,1,P001,0-back,1,1
Synth,0.553258903,1,P001,0-back,1,1
Synth,0.465764294,1,P001,0-back,1,1
Synth,0.335894613,1,P001,0-back,1,1
Synth,0.37842753,1,P001,0-back,1,1
Synth,0.418955276,1,P001,0-back,1,1
Synth,0.324319473,1,P001,0-back,1,1
Synth,0.390913117,1,P001,0-back,1,1
Synth,0.452227035,1,P001,0-back,1,1
Synth,0.374493156,1,P001,0-back,1,1
Synth,0.42074836,1,P001,0-back,1,1
Synth,0.369347462,1,P001,0-back,1,1
Synth,0.325886724,1,P001,0-back,1,1
Synth,0.490358977,1,P001,0-back,1,1
Synth,0.347213282,1,P001,0-back,1,1
Synth,0.459089822,1,P001,0-back,1,1
Synth,0.354840116,1,P001,0-back,1,1
Synth,0.458055532,1,P001,0-back,1,1
Synth,0.555649296,1,P001,0-back,1,1
Synth,0.478151313,0,P001,0-back,0,1
Synth,0.427947885,0,P001,0-back,0,1
Synth,0.341529156,1,P001,0-back,1,1
Synth,0.389255695,1,P001,0-back,1,1
Synth,0.355257457,0,P001,0-back,0,1
Synth,0.368102139,1,P001,0-back,1,1
Synth,0.393902812,1,P001,0-back,1,1
Synth,0.392189555,1,P001,0-back,1,1
Synth,0.425533524,1,P001,0-back,1,1
Synth,0.45330708,1,P001,0-back,1,1
Synth,0.40094617,1,P001,0-back,1,1
Synth,0.313452574,1,P001,0-back,1,1
Synth,0.49617857,1,P001,0-back,1,1
Synth,0.393945015,1,P001,0-back,1,1
Synth,0.415234277,1,P001,0-back,1,1
Synth,0.488360326,1,P001,0-back,1,1
Synth,0.375601326,1,P001,0-back,1,1
Synth,0.350593084,1,P001,0-back,1,1
Synth,0.305639593,1,P001,0-back,1,1
Synth,0.384965696,1,P001,0-back,1,1
Synth,0.462746591,1,P001,0-back,1,1
Synth,0.356859979,0,P001,0-back,0,1
Synth,0.446013877,1,P001,0-back,1,1
Synth,0.447404822,1,P001,0-back,1,1
Synth,0.378334096,1,P001,0-back,1,1
Synth,0.330673335,1,P001,0-back,1,1
Synth,0.463187593,1,P001,0-back,1,1
Synth,0.443558361,1,P001,0-back,1,1
Synth,0.363561835,0,P001,0-back,0,1
Synth,0.43264919,1,P001,0-back,1,1
Synth,0.386987608,1,P001,0-back,1,1
Synth,0.362314166,1,P001,0-back,1,1
Synth,0.492668515,0,P001,0-back,0,1
Synth,0.57150931,1,P001,0-back,1,1
Synth,0.466198695,0,P001,0-back,0,1
Synth,0.380353228,1,P001,0-back,1,1
Synth,0.320725464,1,P001,0-back,1,1
Synth,0.475937164,1,P001,0-back,1,1
Synth,0.355323588,1,P001,0-back,1,1
Synth,0.381713404,1,P001,0-back,1,1
Synth,0.350770982,1,P001,0-back,1,1
Synth,0.39040693,1,P001,0-back,1,1
Synth,0.422410186,1,P001,0-back,1,1
Synth,0.431936666,0,P001,0-back,0,1
Synth,0.340289018,1,P001,0-back,1,1
Synth,0.333526014,1,P001,0-back,1,1
Synth,0.347875503,1,P001,0-back,1,1
Synth,0.351441682,1,P001,0-back,1,1
Synth,0.390212144,1,P001,0-back,1,1
Synth,0.361115695,1,P001,0-back,1,1
Synth,0.460208486,1,P001,0-back,1,1
Synth,0.481381998,1,P001,0-back,1,1
Synth,0.323838485,1,P001,0-back,1,1
Synth,0.44157157,1,P001,0-back,1,1
Synth,0.365772957,1,P001,0-back,1,1
Synth,0.500257638,1,P001,0-back,1,1
Synth,0.367556552,1,P001,0-back,1,1
Synth,0.321511926,1,P001,0-back,1,1
Synth,0.315840931,1,P001,0-back,1,1
Synth,0.384120972,1,P001,0-back,1,1
Synth,0.384538555,1,P001,0-back,1,1
Synth,0.37557043,1,P001,0-back,1,1
Synth,0.446604318,1,P001,0-back,1,1
Synth,0.761831028,1,P001,0-back,1,1
Synth,0.491829886,0,P001,0-back,0,1
Synth,0.422583572,1,P001,0-back,1,1
Synth,0.399568246,1,P001,0-back,1,1
Synth,0.462779419,1,P001,0-back,1,1
Synth,0.330774296,1,P001,0-back,1,1
Synth,0.321620357,1,P001,0-back,1,1
Synth,0.435269317,1,P001,0-back,1,1
Synth,0.439007498,1,P001,0-back,1,1
Synth,0.377868048,1,P001,0-back,1,1
Synth,0.399328141,1,P001,0-back,1,1
Synth,0.356910537,1,P001,0-back,1,1
Synth,0.379963698,1,P001,0-back,1,1
Synth,0.366256119,1,P001,0-back,1,1
Synth,0.449858766,1,P001,0-back,1,1
Synth,0.425849678,1,P001,0-back,1,1
Synth,0.378614961,1,P001,0-back,1,1
Synth,0.356358817,1,P001,0-back,1,1
Synth,0.355819874,1,P001,0-back,1,1
Synth,0.398919476,1,P001,0-back,1,1
Synth,0.392653999,1,P001,0-back,1,1
Synth,0.386739236,1,P001,0-back,1,1
Synth,0.379517192,1,P001,0-back,1,1
Synth,0.396210334,1,P001,0-back,1,1
Synth,0.3511266,1,P001,0-back,1,1
Synth,0.361219873,1,P001,0-back,1,1
Synth,0.3621315,1,P001,0-back,1,1
Synth,0.429026698,1,P001,0-back,1,1
Synth,0.300952181,1,P001,0-back,1,1
Synth,0.352195683,1,P001,0-back,1,1
Synth,0.389739997,1,P001,0-back,1,1
Synth,0.477613958,1,P001,0-back,1,1
Synth,0.561320713,1,P001,0-back,1,1
Synth,0.514172173,1,P001,0-back,1,1
Synth,0.49035727,1,P001,0-back,1,1
Synth,0.396918373,1,P001,0-back,1,1
Synth,0.411756384,1,P001,0-back,1,1
Synth,0.354407566,1,P001,0-back,1,1
Synth,0.405923978,1,P001,0-back,1,1
Synth,0.373551806,1,P001,0-back,1,1
Synth,0.439762205,0,P001,0-back,0,1
Synth,0.459583664,0,P001,0-back,0,1
Synth,0.374577721,1,P001,0-back,1,1
Synth,0.587944877,0,P001,0-back,0,1
Synth,0.352081726,1,P001,0-back,1,1
Synth,0.409339417,1,P001,0-back,1,1
Synth,0.312313202,1,P001,0-back,1,1
Synth,0.361921068,1,P001,0-back,1,1
Synth,0.510706943,1,P001,0-back,1,1
Synth,0.394038258,1,P001,0-back,1,1
Synth,0.434733335,1,P001,0-back,1,1
Synth,0.399819032,1,P001,0-back,1,1
Synth,0.533257502,1,P001,0-back,1,1
Synth,0.467331056,1,P001,0-back,1,1
Synth,0.445566694,1,P001,0-back,1,1
Synth,0.372833379,1,P001,0-back,1,1
Synth,0.436623067,1,P001,0-back,1,1
Synth,0.428069351,1,P001,0-back,1,1
Synth,0.323384282,1,P001,0-back,1,1
Synth,0.342411418,1,P001,0-back,1,1
Synth,0.420514761,1,P001,0-back,1,1
Synth,0.335823512,1,P001,0-back,1,1
Synth,0.406838496,0,P001,0-back,0,1
Synth,0.324251197,1,P001,0-back,1,1
Synth,0.378580039,1,P001,0-back,1,1
Synth,0.354519246,0,P001,0-back,0,1
Synth,0.379006662,1,P001,0-back,1,1
Synth,0.406948143,1,P001,0-back,1,1
Synth,0.42318417,1,P001,0-back,1,1
Synth,0.340495542,1,P001,0-back,1,1
Synth,0.512753955,0,P001,0-back,0,1
Synth,0.408847314,1,P001,0-back,1,1
Synth,0.333088192,1,P001,0-back,1,1
Synth,0.528113826,1,P001,0-back,1,1
Synth,0.337267466,1,P001,0-back,1,1
Synth,0.337819802,1,P001,0-back,1,1
Synth,0.493518004,1,P001,0-back,1,1
Synth,0.470491861,1,P001,0-back,1,1
Synth,0.53176851,0,P001,0-back,0,1
Synth,0.420679131,1,P001,0-back,1,1
Synth,0.497906343,1,P001,0-back,1,1
Synth,0.364165456,1,P001,0-back,1,1
Synth,0.413236091,1,P001,0-back,1,1
Synth,0.347422829,1,P001,0-back,1,1
Synth,0.481588161,0,P001,0-back,0,1
Synth,0.532667848,1,P001,0-back,1,1
Synth,0.333843716,1,P001,0-back,1,1
Synth,0.383596198,1,P001,0-back,1,1
Synth,0.418751338,1,P001,0-back,1,1
Synth,0.403750192,1,P001,0-back,1,1
Synth,0.430919388,1,P001,0-back,1,1
Synth,0.434597199,1,P001,0-back,1,1
Synth,0.343576513,1,P001,0-back,1,1
Synth,0.367459002,1,P001,0-back,1,1
Synth,0.344825385,1,P001,0-back,1,1
Synth,0.381013285,1,P001,0-back,1,1
Synth,0.31312513,1,P001,0-back,1,1
Synth,0.357743695,1,P001,0-back,1,1
Synth,0.483936248,1,P001,0-back,1,1
Synth,0.419633789,1,P001,0-back,1,1
Synth,0.326884226,1,P001,0-back,1,1
Synth,0.472412253,1,P001,0-back,1,1
Synth,0.557927327,1,P001,0-back,1,1
Synth,0.370555755,1,P001,0-back,1,1
Synth,0.326557046,1,P001,0-back,1,1
Synth,0.347061454,1,P001,0-back,1,1
Synth,0.455813452,0,P001,0-back,0,1
Synth,0.329876997,1,P001,0-back,1,1
Synth,0.402152592,1,P001,0-back,1,1
Synth,0.355238003,1,P001,0-back,1,1
Synth,0.329410409,1,P001,0-back,1,1
Synth,0.387279074,1,P001,0-back,1,1
Synth,0.303930122,1,P001,0-back,1,1
Synth,0.58639242,1,P001,0-back,1,1
Synth,0.596770526,1,P001,0-back,1,1
Synth,0.428533259,1,P001,0-back,1,1
Synth,0.338832398,1,P001,0-back,1,1
Synth,0.411582202,1,P001,0-back,1,1
Synth,0.349758292,1,P001,0-back,1,1
Synth,0.343545279,1,P001,0-back,1,1
Synth,0.350212133,0,P001,0-back,0,1
Synth,0.347187493,1,P001,0-back,1,1
Synth,0.571244527,1,P001,0-back,1,1
Synth,0.373572055,1,P001,0-back,1,1
Synth,0.374954078,1,P001,0-back,1,1
Synth,0.328565182,1,P001,0-back,1,1
Synth,0.332012125,1,P001,0-back,1,1
Synth,0.375713994,1,P001,0-back,1,1
Synth,0.387600853,1,P001,0-back,1,1
Synth,0.360561496,0,P001,0-back,0,1
Synth,0.380716047,1,P001,0-back,1,1
Synth,0.503947648,1,P001,0-back,1,1
Synth,0.438027582,1,P001,0-back,1,1
Synth,0.484862614,1,P001,0-back,1,1
Synth,0.655065707,1,P001,0-back,1,1
Synth,0.395943248,1,P001,0-back,1,1
Synth,0.390888768,1,P001,0-back,1,1
Synth,0.389100614,1,P001,0-back,1,1
Synth,0.388710626,1,P001,0-back,1,1
Synth,0.405534748,1,P001,0-back,1,1
Synth,0.433175979,1,P001,0-back,1,1
Synth,0.350440258,1,P001,0-back,1,1
Synth,0.41724901,1,P001,0-back,1,1
Synth,0.360254306,1,P001,0-back,1,1
Synth,0.379424513,1,P001,0-back,1,1
Synth,0.428678777,0,P001,0-back,0,1
Synth,0.369969412,1,P001,0-back,1,1
Synth,0.340138583,1,P001,0-back,1,1
Synth,0.506260446,1,P001,0-back,1,1
Synth,0.419619159,1,P001,0-back,1,1
Synth,0.306343924,0,P001,0-back,0,1
Synth,0.41569395,1,P001,0-back,1,1
Synth,0.426060479,1,P001,0-back,1,1
Synth,0.508253841,1,P001,0-back,1,1
Synth,0.381793604,1,P001,0-back,1,1
Synth,0.427797901,1,P001,0-back,1,1
Synth,0.391266277,1,P001,0-back,1,1
Synth,0.388177543,1,P001,0-back,1,1
Synth,0.49604649,1,P001,0-back,1,1
Synth,0.392736894,1,P001,0-back,1,1
Synth,0.457776319,1,P001,0-back,1,1
Synth,0.4228776,1,P001,0-back,1,1
Synth,0.369018108,1,P001,0-back,1,1
Synth,0.513838104,1,P001,0-back,1,1
Synth,0.378392691,1,P001,0-back,1,1
Synth,0.373017974,1,P001,0-back,1,1
Synth,0.354674087,1,P001,0-back,1,1
Synth,0.339945936,1,P001,0-back,1,1
Synth,0.357170407,1,P001,0-back,1,1
Synth,0.318610658,1,P001,0-back,1,1
Synth,0.347048689,1,P001,0-back,1,1
Synth,0.351840213,1,P001,0-back,1,1
Synth,0.316438771,1,P001,0-back,1,1
Synth,0.379549645,0,P001,0-back,0,1
Synth,0.39301695,1,P001,0-back,1,1
Synth,0.335008422,1,P001,0-back,1,1
Synth,0.373430809,0,P001,0-back,0,1
Synth,0.31020177,0,P001,0-back,0,1
Synth,0.425454769,1,P001,0-back,1,1
Synth,0.320204302,1,P001,0-back,1,1
Synth,0.581552724,1,P001,0-back,1,1
Synth,0.365590444,0,P001,0-back,0,1
Synth,0.339710089,1,P001,0-back,1,1
Synth,0.433309532,0,P001,0-back,0,1
Synth,0.423709323,1,P001,0-back,1,1
Synth,0.375775276,1,P001,0-back,1,1
Synth,0.406060634,1,P001,0-back,1,1
Synth,0.359692291,1,P001,0-back,1,1
Synth,0.360662759,1,P001,0-back,1,1
Synth,0.350038384,1,P001,0-back,1,1
Synth,0.360025769,1,P001,0-back,1,1
Synth,0.44880418,1,P001,0-back,1,1
Synth,0.547276143,1,P001,0-back,1,1
Synth,0.366340847,1,P001,0-back,1,1
Synth,0.741677363,0,P001,0-back,0,1
Synth,0.316016288,1,P001,0-back,1,1
Synth,0.372575785,1,P001,0-back,1,1
Synth,0.420580649,1,P001,0-back,1,1
Synth,0.406181552,1,P001,0-back,1,1
Synth,0.481157658,1,P001,0-back,1,1
Synth,0.445844962,1,P001,0-back,1,1
Synth,0.319862906,0,P001,0-back,0,1
Synth,0.498380523,1,P001,0-back,1,1
Synth,0.363647518,1,P001,0-back,1,1
Synth,0.342057766,1,P001,0-back,1,1
Synth,0.399099582,1,P001,0-back,1,1
Synth,0.412360028,1,P001,0-back,1,1
Synth,0.435395172,1,P001,0-back,1,1
Synth,0.414572057,1,P001,0-back,1,1
Synth,0.372192047,1,P001,0-back,1,1
Synth,0.439922014,1,P001,0-back,1,1
Synth,0.411280635,1,P001,0-back,1,1
Synth,0.691523655,1,P001,0-back,1,1
Synth,0.353551255,1,P001,0-back,1,1
Synth,0.379690846,1,P001,0-back,1,1
Synth,0.358441416,1,P001,0-back,1,1
Synth,0.37951979,1,P001,0-back,1,1
Synth,0.376966777,1,P001,0-back,1,1
Synth,0.370530089,1,P001,0-back,1,1
Synth,0.583631388,0,P001,0-back,0,1
Synth,0.354542416,1,P001,0-back,1,1
Synth,0.434563507,1,P001,0-back,1,1
Synth,0.585828668,1,P001,0-back,1,1
Synth,0.374175786,1,P001,0-back,1,1
Synth,0.436807579,1,P001,0-back,1,1
Synth,0.427502144,1,P001,0-back,1,1
Synth,0.416677375,1,P001,0-back,1,1
Synth,0.411179095,1,P001,0-back,1,1
Synth,0.370310351,0,P001,0-back,0,1
Synth,0.363058056,1,P001,0-back,1,1
Synth,0.429857242,0,P001,0-back,0,1
Synth,0.395485378,1,P001,0-back,1,1
Synth,0.333879961,1,P001,0-back,1,1
Synth,0.632357187,1,P001,0-back,1,1
Synth,0.381152002,0,P001,0-back,0,1
Synth,0.423382424,1,P001,0-back,1,1
Synth,0.453760378,1,P001,0-back,1,1
Synth,0.320355322,1,P001,0-back,1,1
Synth,0.342677,1,P001,0-back,1,1
Synth,0.407217459,1,P001,0-back,1,1
Synth,0.412324161,0,P001,0-back,0,1
Synth,0.381189053,1,P001,0-back,1,1
Synth,0.347831018,1,P001,0-back,1,1
Synth,0.431501837,1,P001,0-back,1,1
Synth,0.400906199,1,P001,0-back,1,1
Synth,0.442250887,1,P001,0-back,1,1
Synth,0.35891824,1,P001,0-back,1,1
Synth,0.364945669,1,P001,0-back,1,1
Synth,0.502509037,0,P001,0-back,0,1
Synth,0.402947732,0,P001,0-back,0,1
Synth,0.382710999,1,P001,0-back,1,1
Synth,0.361011322,1,P001,0-back,1,1
Synth,0.846605764,1,P001,0-back,1,1
Synth,0.423058855,1,P001,0-back,1,1
Synth,0.364180369,1,P001,0-back,1,1
Synth,0.328291632,1,P001,0-back,1,1
Synth,0.319174838,1,P001,0-back,1,1
Synth,0.327542435,1,P001,0-back,1,1
Synth,0.325844693,1,P001,0-back,1,1
Synth,0.412805457,1,P001,0-back,1,1
Synth,0.428186788,1,P001,0-back,1,1
Synth,0.410577344,1,P001,0-back,1,1
Synth,0.414239195,1,P001,0-back,1,1
Synth,0.333658279,1,P001,0-back,1,1
Synth,0.484837145,1,P001,0-back,1,1
Synth,0.447066354,1,P001,0-back,1,1
Synth,0.376077928,1,P001,0-back,1,1
Synth,0.433823609,1,P001,0-back,1,1
Synth,0.389505266,1,P001,0-back,1,1
Synth,0.374451315,1,P001,0-back,1,1
Synth,0.358167042,1,P001,0-back,1,1
Synth,0.388423468,1,P001,0-back,1,1
Synth,0.399407661,1,P001,0-back,1,1
Synth,0.573864982,0,P001,0-back,0,1
Synth,0.369056261,1,P001,0-back,1,1
Synth,0.403801898,1,P001,0-back,1,1
Synth,0.315796696,1,P001,0-back,1,1
Synth,0.491122567,0,P001,0-back,0,1
Synth,0.479069728,1,P001,0-back,1,1
Synth,0.691591602,1,P001,0-back,1,1
Synth,0.406933028,1,P001,0-back,1,1
Synth,0.362494778,1,P001,0-back,1,1
Synth,0.418933644,1,P001,0-back,1,1
Synth,0.3869486,1,P001,0-back,1,1
Synth,0.574336718,1,P001,0-back,1,1
Synth,0.482140183,1,P001,0-back,1,1
Synth,0.375112747,1,P001,0-back,1,1
Synth,0.434965347,1,P001,0-back,1,1
Synth,0.739169781,1,P001,0-back,1,1
Synth,0.37741215,1,P001,0-back,1,1
Synth,0.485372208,1,P001,0-back,1,1
Synth,0.437365178,1,P001,0-back,1,1
Synth,0.305883782,1,P001,0-back,1,1
Synth,0.603315142,1,P001,0-back,1,1
Synth,0.47401106,1,P001,0-back,1,1
Synth,0.29607074,1,P001,0-back,1,1
Synth,0.314190312,0,P001,0-back,0,1
Synth,0.472901161,0,P001,0-back,0,1
Synth,0.382956943,1,P001,0-back,1,1
Synth,0.35902749,1,P001,0-back,1,1
Synth,0.396976122,1,P001,0-back,1,1
Synth,0.458186591,1,P001,0-back,1,1
Synth,0.364552448,1,P001,0-back,1,1
Synth,0.357614131,1,P001,0-back,1,1
Synth,0.401310692,1,P001,0-back,1,1
Synth,0.331015301,1,P001,0-back,1,1
Synth,0.31425707,1,P001,0-back,1,1
Synth,0.449634685,0,P001,0-back,0,1
Synth,0.316359361,0,P001,0-back,0,1
Synth,0.589508807,1,P001,0-back,1,1
Synth,0.485479078,0,P001,0-back,0,1
Synth,0.348421222,1,P001,0-back,1,1
Synth,0.311031111,1,P001,0-back,1,1
Synth,0.448781119,1,P001,0-back,1,1
Synth,0.34692508,1,P001,0-back,1,1
Synth,0.348155467,1,P001,0-back,1,1
Synth,0.39010821,1,P001,0-back,1,1
Synth,0.342074047,1,P001,0-back,1,1
Synth,0.398080768,1,P001,0-back,1,1
Synth,0.503251348,1,P001,0-back,1,1
Synth,0.601743008,1,P001,0-back,1,1
Synth,0.472753118,1,P001,0-back,1,1
Synth,0.432104771,1,P001,0-back,1,1
Synth,0.441888034,1,P001,0-back,1,1
Synth,0.583320259,1,P001,0-back,1,1
Synth,0.445405643,1,P001,0-back,1,1
Synth,0.608795782,0,P001,0-back,0,1
Synth,0.403217383,1,P001,0-back,1,1
Synth,0.357059642,0,P001,0-back,0,1
Synth,0.320491008,0,P001,0-back,0,1
Synth,0.509244686,1,P001,0-back,1,1
Synth,0.492234675,1,P001,0-back,1,1
Synth,0.428189432,1,P001,0-back,1,1
Synth,0.356062701,1,P001,0-back,1,1
Synth,0.430457574,1,P001,0-back,1,1
Synth,0.347416029,1,P001,0-back,1,1
Synth,0.328983306,1,P001,0-back,1,1
Synth,0.341345681,1,P001,0-back,1,1
Synth,0.40540744,1,P001,0-back,1,1
Synth,0.446538149,1,P001,0-back,1,1
Synth,0.323932388,1,P001,0-back,1,1
Synth,0.345414828,1,P001,0-back,1,1
Synth,0.424111607,1,P001,0-back,1,1
Synth,0.354437452,1,P001,0-back,1,1
Synth,0.321365775,1,P001,0-back,1,1
Synth,0.433025238,1,P001,0-back,1,1
Synth,0.442161175,1,P001,0-back,1,1
Synth,0.575465781,1,P001,0-back,1,1
Synth,0.338966005,1,P001,0-back,1,1
Synth,0.302157685,1,P001,0-back,1,1
Synth,0.398969191,1,P001,0-back,1,1
Synth,0.471263641,1,P001,0-back,1,1
Synth,0.348585851,1,P001,0-back,1,1
Synth,0.375522391,1,P001,0-back,1,1
Synth,0.320850163,1,P001,0-back,1,1
